49 7776 31843
0 0 -332.65 -332.65
1 0 -199.76 -199.76
3 0 -253.06 -253.06
26 0 58.13 58.13
29 0 238.22 238.22
36 0 317.55 317.55
0 1 122.41 122.41
1 1 123.39 123.39
4 1 122.68 122.68
8 1 126.96 126.96
20 1 137.29 137.29
38 1 149.16 149.16
47 1 153.59 153.59
0 2 -38.38 -38.38
1 2 -25.25 -25.25
2 2 -45.56 -45.56
3 2 -31.9 -31.9
4 2 -51.3 -51.3
5 2 -24.08 -24.08
6 2 -57.18 -57.18
7 2 -21.82 -21.82
8 2 -63.85 -63.85
9 2 -71.87 -71.87
10 2 -20.19 -20.19
11 2 -20.47 -20.47
12 2 -86.33 -86.33
13 2 -18.51 -18.51
15 2 -93.85 -93.85
17 2 -113.29 -113.29
20 2 -103.27 -103.27
33 2 -137.45 -137.45
35 2 -123.18 -123.18
38 2 -155.09 -155.09
47 2 -176.73 -176.73
0 3 126.03 126.03
1 3 125.66 125.66
3 3 126.12 126.12
5 3 120.74 120.74
7 3 116.1 116.1
10 3 107.86 107.86
11 3 112.19 112.19
13 3 104.85 104.85
16 3 96.76 96.76
22 3 100.72 100.72
30 3 90.36 90.36
34 3 82.96 82.96
39 3 84.35 84.35
43 3 80.39 80.39
45 3 89.57 89.57
0 4 117.01 117.01
1 4 118.63 118.63
4 4 116.66 116.66
6 4 118.14 118.14
8 4 120.51 120.51
9 4 121.93 121.93
12 4 126.46 126.46
20 4 129.75 129.75
33 4 137 137
35 4 134.68 134.68
0 5 -23.33 -23.33
1 5 -14.05 -14.05
2 5 -28.58 -28.58
3 5 -18.64 -18.64
6 5 -35.8 -35.8
0 6 178.75 178.75
1 6 175.02 175.02
0 7 102.29 102.29
1 7 104.85 104.85
2 7 100.76 100.76
3 7 103.79 103.79
4 7 101.28 101.28
5 7 101.01 101.01
6 7 102.6 102.6
7 7 97.98 97.98
8 7 104.01 104.01
10 7 91.06 91.06
11 7 94.98 94.98
12 7 108.53 108.53
13 7 88.81 88.81
15 7 110.04 110.04
16 7 81.59 81.59
17 7 112.73 112.73
20 7 111.2 111.2
22 7 85.01 85.01
30 7 75.79 75.79
34 7 68.89 68.89
35 7 115 115
39 7 70.94 70.94
43 7 66.96 66.96
45 7 76.32 76.32
0 8 277.65 277.65
1 8 242.43 242.43
2 8 303.01 303.01
3 8 260.6 260.6
4 8 329.95 329.95
5 8 223.32 223.32
6 8 365.13 365.13
7 8 208 208
10 8 182.17 182.17
11 8 194.43 194.43
13 8 172.1 172.1
16 8 152.23 152.23
22 8 161.51 161.51
30 8 141.31 141.31
34 8 130.43 130.43
39 8 127.07 127.07
43 8 125.11 125.11
45 8 129.53 129.53
0 9 164.89 164.89
1 9 159.9 159.9
2 9 167.22 167.22
3 9 162.55 162.55
4 9 171.74 171.74
5 9 152.07 152.07
6 9 177.78 177.78
7 9 146.27 146.27
8 9 183.59 183.59
9 9 190.96 190.96
10 9 134.01 134.01
11 9 140.41 140.41
12 9 208.87 208.87
13 9 129.93 129.93
14 9 199.87 199.87
15 9 218.22 218.22
16 9 118.94 118.94
17 9 237.79 237.79
20 9 227.47 227.47
22 9 124.12 124.12
30 9 111.23 111.23
34 9 102.92 102.92
35 9 249.53 249.53
38 9 274.96 274.96
39 9 102.45 102.45
43 9 99.37 99.37
45 9 106.87 106.87
0 10 123.39 123.39
1 10 124.37 124.37
2 10 121.85 121.85
3 10 124.75 124.75
4 10 122.15 122.15
5 10 120.08 120.08
6 10 123.49 123.49
7 10 115.93 115.93
8 10 125.71 125.71
9 10 128.12 128.12
10 10 108.04 108.04
11 10 111.85 111.85
12 10 133.94 133.94
13 10 105.12 105.12
14 10 131.78 131.78
15 10 136.71 136.71
16 10 97.34 97.34
17 10 139.28 139.28
20 10 138.27 138.27
22 10 101.22 101.22
30 10 91.45 91.45
34 10 83.82 83.82
35 10 140.14 140.14
38 10 149.26 149.26
39 10 84.79 84.79
43 10 80.89 80.89
45 10 89.52 89.52
47 10 155.65 155.65
0 11 158.29 158.29
1 11 154.26 154.26
3 11 156.72 156.72
5 11 147.46 147.46
7 11 141.7 141.7
10 11 131.43 131.43
11 11 136.73 136.73
13 11 127.14 127.14
16 11 116.9 116.9
22 11 121.94 121.94
30 11 109.72 109.72
34 11 101.57 101.57
39 11 101.62 101.62
43 11 98.38 98.38
45 11 106.1 106.1
0 12 242.13 242.13
1 12 199.06 199.06
2 12 272.78 272.78
3 12 218.46 218.46
4 12 317.87 317.87
5 12 179.3 179.3
7 12 163.65 163.65
10 12 140.14 140.14
11 12 150.71 150.71
16 12 113.3 113.3
34 12 94.74 94.74
